[2026-01-12T08:12:08.880Z] GET /enrollment/my-classes 304 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:09.714Z] GET /student/attendance 304 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:13.443Z] GET /training-classes/available 304 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:13.444Z] GET /enrollment/my-requests 304 (9ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:20.327Z] GET /admin/sessions?date=2026-01-12&classId=f1e537c7-caf4-445a-8bff-dd80caa96256 304 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:20.682Z] GET /admin/attendance?date=2026-01-12&sessionId=ff052ab3-5f4f-4e93-983e-cea0fd2bba2b&classId=f1e537c7-caf4-445a-8bff-dd80caa96256 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:24.398Z] GET /training-classes 304 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:24.398Z] GET /admin/statistics/far-checkins?startDate=2026-01-12&endDate=2026-01-18 200 (7ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:24.400Z] GET /admin/statistics/weekly-absence?startDate=2026-01-12&endDate=2026-01-18 200 (14ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:24.438Z] GET /admin/statistics/overview?startDate=2026-01-12&endDate=2026-01-18 200 (16ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:12:40.065Z] GET /admin/students 304 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:13:07.213Z] GET /training-classes 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:13:23.315Z] POST /auth/login 200 (79ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:13:25.015Z] GET /admin/enrollment/requests?classId=f1e537c7-caf4-445a-8bff-dd80caa96256 200 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:13:50.457Z] POST /auth/login 200 (87ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:13:54.780Z] GET /admin/attendance?date=2026-01-12 200 (7ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:13:54.784Z] GET /training-classes 200 (24ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:13:55.588Z] GET /admin/sessions?date=2026-01-12&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 200 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:13:56.269Z] GET /admin/attendance?date=2026-01-12&sessionId=d4f977c4-0592-4fec-8705-a30cfe79754a&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:13:58.833Z] GET /training-classes 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:03.233Z] GET /admin/enrollment/requests?classId=f1e537c7-caf4-445a-8bff-dd80caa96256 200 (6ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:05.749Z] PUT /admin/enrollment/requests/ef6e0980-5e89-4202-846b-a8571c59fa2e/review 200 (57ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:06.590Z] GET /admin/enrollment/requests?classId=f1e537c7-caf4-445a-8bff-dd80caa96256 200 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:10.672Z] GET /training-classes 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:34.353Z] GET /admin/enrollment/requests?classId=f1e537c7-caf4-445a-8bff-dd80caa96256 200 (54ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:34.986Z] GET /training-classes 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:35.500Z] GET /training-classes 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:35.642Z] GET /admin/attendance?date=2026-01-12 200 (5ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:35.869Z] GET /admin/sessions?date=2026-01-12&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:36.611Z] GET /admin/attendance?date=2026-01-12&sessionId=d4f977c4-0592-4fec-8705-a30cfe79754a&classId=3584f2f8-7942-44b1-b836-f4c3cda7c043 200 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:42.511Z] POST /auth/login 200 (70ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:43.207Z] GET /student/profile 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:43.866Z] GET /enrollment/my-classes 200 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:44.482Z] GET /student/attendance 200 (4ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:46.872Z] GET /student/profile 304 (2ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
[2026-01-12T08:14:47.287Z] GET /enrollment/my-classes 200 (3ms) | Origin: https://vanquyenhair.vercel.app | Cookies: AT=false, RT=false
